Category,skill_count,mean_baseline_risk,median_baseline_risk,mean_exact_invocation_collision_count,pct_with_exact_invocation_collision,mean_lexical_similarity,mean_phonetic_similarity,mean_word_squat_count,mean_phonetic_graph_degree,mean_genericity_ambiguity
Kids,2625,0.42221258525098787,0.3998183224808048,43.67733333333333,0.35733333333333334,0.7606610942987232,0.784785239891116,29.06247619047619,0.7752380952380953,0.09129782388093359
Sports,785,0.4056845007852336,0.3810427927046666,8.303184713375796,0.26496815286624203,0.735773826058565,0.759688846366167,33.91337579617834,0.8178343949044586,0.11259420880137516
Education & Reference,5531,0.4019956787329698,0.3813798546719765,3.0309166516000725,0.2731874887000542,0.7077022966456861,0.7701281531944436,19.303019345507142,0.9692641475320919,0.2847445492584987
productivity,3369,0.4016268476681916,0.3876598674371493,44.950133570792524,0.3416444048679133,0.743504044188845,0.7739714750478973,28.617987533392697,0.6939744731374295,0.045750005855184725
Game and Trivia,5946,0.39766395258516135,0.3745945280128078,25.936764211234443,0.2785065590312815,0.7391334202288514,0.7692541799196931,24.493945509586275,0.6902119071644803,0.11713959145227638
Movie and TV,638,0.3957588558754752,0.3860812855044385,1.8887147335423198,0.2413793103448276,0.7162682991366441,0.7687991386161203,31.609717868338556,0.6677115987460815,0.1783609993416579
Novelty and Humor,3259,0.38610627195472996,0.3697720918557091,3.6514268180423444,0.2374961644676281,0.7159744467947402,0.7718731218779372,27.417919607241487,0.9239030377416385,0.08835917573051214
Social,439,0.37761020600555506,0.3688047672215046,5.0842824601366745,0.21867881548974943,0.7174076431965333,0.7691400927025127,25.79271070615034,0.826879271070615,0.05501069658465237
Lifestyle,4012,0.36346942317822134,0.34488119248883065,8.331754735792622,0.2290628115653041,0.7161944988240878,0.7402216257417705,22.26071784646062,0.6009471585244267,0.070521572191568
Health and Fitness,1783,0.35364291643942203,0.35420674023998094,0.8569826135726304,0.15872125630959058,0.6940793118972663,0.7358375953980839,25.84127874369041,0.504206393718452,0.05145639106765255
Food and Drink,1244,0.35304143810614297,0.34768929756987765,2.4316720257234725,0.1414790996784566,0.684792806908382,0.735863131106881,27.227491961414792,0.5972668810289389,0.05051140086967971
Utilities,161,0.34646209241151527,0.3435685518587772,10.416149068322982,0.11801242236024845,0.6773634763543717,0.7382437853935848,26.82608695652174,0.37888198757763975,0.016940694727247827
weather,736,0.3464397860681501,0.34374523187161293,0.26358695652173914,0.08288043478260869,0.6377630212601774,0.7303344598362999,36.15353260869565,0.40353260869565216,0.0257170232701974
Home services,288,0.3399847840066179,0.3410390445902056,0.19791666666666666,0.10416666666666667,0.6809575089907668,0.7348352546105347,22.625,0.5555555555555556,0.024421533038526507
Travel and Transportation,838,0.33382212140895323,0.3325576723167148,1.0441527446300716,0.1957040572792363,0.6755085817506773,0.7424469683723186,14.842482100238664,0.44630071599045346,0.08245570789754157
News,1138,0.3337571506808418,0.32815134416987063,1.0061511423550087,0.070298769771529,0.6728866964748399,0.7141622128494413,26.163444639718804,0.39630931458699475,0.05669428125332045
Local,633,0.33370524346089764,0.3275044476728465,3.4154818325434437,0.08846761453396525,0.6829481425357058,0.7254737623956824,20.941548183254344,0.382306477093207,0.029631030184788878
Smart Home,871,0.33330840391188016,0.33007033871897035,3.064293915040184,0.1010332950631458,0.6401018526174794,0.7486096652842945,25.351320321469576,0.7003444316877153,0.01724421630008838
Music and Audio,5411,0.3301917982928729,0.3167370596944902,0.5244871557937535,0.06338939197930142,0.7070627365276434,0.7440911267066769,11.212530031417483,0.46109776381445206,0.08637578880377694
Connected_car,123,0.32670637807550174,0.31891854392972263,0.11382113821138211,0.06504065040650407,0.6472440392919541,0.7655105940232024,15.788617886178862,0.8292682926829268,0.02248224361434285
Communication,520,0.32363071637260926,0.3015444932732061,8.661538461538461,0.1519230769230769,0.6595525741177362,0.7104325979124781,17.548076923076923,0.55,0.032961885574022194
Business & Finance,2163,0.31523899089623786,0.3081879064929062,0.8058252427184466,0.09847434119278779,0.6582689059979542,0.6923761507740921,19.732316227461858,0.37540453074433655,0.023620509609969212
Shopping,361,0.28880781907802616,0.28331373453508346,1.5872576177285318,0.036011080332409975,0.620275015179945,0.6816198579051744,12.13573407202216,0.2548476454293629,0.013452777437965425
